College Code,College Name,Email,Phone,Address
0000,National University,info3@nu.ac.bd,01815111111,"Gazipur, Gazipur"
0001,"NATIONAL UNIVERSITY, BANGLADESH",mrhaider46@gmail.com,029291016,"Board Bazar, Gazipur, Gazipur"
0011,NU Admin ICT,,,"Board Bazar, Gazipur, Gazipur"
0101,GOVT. P. C. COLLEGE,pccollege1918@gmail.com,046862324,"VILL-HARINKHANA, P.O- P.C. COLLEGE, BAGERHAT,"
0102,SHERE BANGLA COLLEGE,sherebanglacollege@gmail.com,0465256287,"KHARAMKHALI,"
0103,BAGERHAT GOVT. MAHILA COLLEGE,bgg.coll@gmail.com,0468-62489,"POST  & DIST.- BAGERHAT,"
0104,RAMPAL GOVT. COLLEGE,collegerampal@gmail.com,0465756002,"RAMPAL,"
0105,GILATALA ABUL KALAM COLLEGE,AKC_GILATALA@YAHOO.COM,01723709036,"GILATALA,"
0106,MORELGANJ SIRAJUDDIN MEMO. COLLEGE,smcollege68@gmail.com,0465656248,"MORRELGONJ, BAGERHAT,"
0107,KAZI AZHAR ALI COLLEGE,kaacprincipal@gmail.com,0465356207,"ATTAKI,"
0108,KHALILUR RAHMAN COLLEGE,azadkrc@yahoo.com,01716780076,"Mollahat Upzila Sador, Bagerhat,"
0109,SHARANKHOLA DEGREE COLLEGE,shorankholacollege78@gmail.com,0465956026,"Vill : Rajoir, Post : Rayenda-9330, Upz : Sharankhola, District : Bagerhat.,"
0110,MONGLA GOVT. COLLEGE,collegemongla@yahoo.com,0465873181,"SHELABUNIA,"
0111,ROWSHAN ARA SMRITI MAHILA COLLEGE,rowshanaramemorialwomencollege@yahoo.com,04656-56266,"MORRELGONJ,"
0112,KACHUA COLLEGE,kachuadegreecollege@gmail.com,0465456086,"KACHUA,"
0113,SUNDARBAN MAHILA COLLEGE,sundarbanmc@gmail.com,01309115227,"POST: SUNDARBAN MAHILA COLLEGE, BHAGA,"
0114,GOVT. FAKIRHAT FAZILATUNNESSA MUJIB MAHILA COLLEGE,principalffmmc@gmail.com,0465356311,"ATTAKA, FAKIRHAT, BAGERHAT,"
0115,A. R. KHAN DEGREE COLLEGE,arkhandegreecollege@gmail.com,01309115156,"POST OFFICE : SANNYASHI BAZAR,"
0116,SHAHID SMRITI COLLEGE,shaheedsmritidegreecollege@ymail.com,0466356061,"TOWN NOWAPARA, FAKIRHAT, BAGERHAT.,"
0117,GOVT. SHAHID SHEIKH ABU NASER MAHILA COLLEGE,ssanmd.college@yahoo.com,0465456193,"KACHUA, BAGERHAT,"
0118,DIGRAJ DEGREE MAHAVIDYALAYA,collegedigraj@yahoo.com,02478846034,"DIGRAJ, MONGLA, BAGERHAT,"
0119,BAGERHAT LAW COLLEGE,cwbg.bd@gmail.com,01720613294,"AMLAPARA,,"
0120,D. MIA ABBAS UDDIN TEACHERS' TRAINING COLLEGE,dmattc02@gmail.com,01714573600,"MORRELGONJ,"
0121,GOVT. PHYSICAL EDUCATION COLLEGE,kpec_ds@yahoo.com,01912380675,"SREEGHAT, SAIRA, BAGERHAT SADAR.,"
0122,BELAYET HOSSAIN DEGREE COLLEGE,belayethossain.college@yahoo.com,01726572448,"DEPARA,"
0123,BELAYAT HOSSAIN B. ED. COLLEGE,belayathossainbedcollege@gmail.com,01928104117,"0,"
0124,KHAN JAHAN ALI TEACHERS TRAINING COLLEGE,0,,"0,"
0125,SALIMABAD DEGREE COLLEGE,salimabaddegreecollege@gmail.com,01911855035,"DAIBAJNAHATI,"
0126,SHEIKH HELAL UDDIN GOVT. COLLEGE,sk.helaluddincollege@gmail.com,01712087392,"SHUBHADIA, FAKIRHAT, BAGERHAT,"
0127,KALIDAS BARAL SMRITI COLLEGE,kalidasbaralsmriticollege@gmail.com,01712188145,"KHASHERHAT BAZAR,"
0128,GOVT. BANGABANDHU MOHILA COLLEGE,bbmcc95@gmail.com,01309115023,"VILLAGE-ARUABORNI, POST OFFICE-CHITALMARI,,"
0129,KHAN JAHAN ALI COLLEGE,college1979@gmail.com,046863504,"DASHANI, BAGERHAT.,"
