DIVISION,DISTRICT,UPAZILA_THANA,EIIN,NAME,EDU_LEVEL,MOBILE,EMAIL,MANAGEMENT,MPO,STUD_TYPE
Barishal,Barisal,Bakerganj,100585,DAHARKOLA  AHAMMADIA  DAKHIL  MADRASHA,Dakhil,01719688960,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Dashmina,102155,ADAMPURA BEGUM ROKEYA GIRLS DAKHIL MADRASAHA,Dakhil,01705392053,madrasah102155@gmail.com,PRIVATE,YES,GIRLS
Barishal,Bhola,Tazumuddin,101614,MOHAMMAD BHELA OMARIYA ISLAMIA DAKHIL MADRASA,Dakhil,01727271323,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Muladi,101000,NAZIRPUR GHOSHER CHAR DAKHIL MADRASHA,Dakhil,01743603208,ngdm@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Nazirpur Upazila,102876,LABUJIL BUNIA ISLAMIA FAZIL MADRASHA,Fazil,01705529382,m102876@hotmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Kala Para,102380,AKKEL PUR NURIA DAKHIL MADRSHA,Dakhil,01,akkelpurndmadrasha@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Mathbaria,102789,GULISHA KHALI SALEHIA SENIOR (ALIM) MADRASAH,Alim,01721458587,m102789g.a.m@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Galachipa,102310,MODDHO  PATABUNIA  GAZIA  DAKHIL  MADRASHA,Dakhil,01715955219,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Taltali,100064,KARAIBARIA ETIM MANJEEL GIRLS DAKHIL MADRASA,Dakhil,01748960089,meiin100064@gimail.com,PRIVATE,YES,GIRLS
Barishal,Pirojpur,Bhandaria,102679,PASCHIM GOLBUNIA GIRLS DAKHIL MADRASAH,Dakhil,01734304650,102679pggdm@gmail.com,PRIVATE,NO,GIRLS
Barishal,Pirojpur,Bhandaria,131748,CHARKHALI  DAKHIL  MADRASAH,Dakhil,01720636655,,,NO,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100576,KATADIA ABUL H.KHAN GIRLS DAKHIL MADRASAH,Dakhil,01731937325,kahkbdm@gmail.com,PRIVATE,YES,GIRLS
Barishal,Barguna,Amtali,100069,AMTALI BONDER HOSAINIA FAZIL MADRASHA,Fazil,01714599363,madrasa100069@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
